,id,longitud,latitud,cluster
1642,5065,-3682314073004,40430229683555,235
1643,5067,-3682380395159,40432859902659,235
1644,5068,-3682453086895,40393499926427,67
1645,5069,-3682462221712,40397454782190,67
1646,5070,-3682504614663,40467349364341,98
1647,5071,-3682563266480,40430262858298,235
1648,5072,-3637179713717,40457242887496,51
1649,5073,-3637416097148,40401415829744,126
1650,5074,-3638086746320,40423248257426,206
1651,5075,-3682623518258,40383664108831,201
1652,5076,-3682631652693,40445984781525,200
1653,5077,-3682797388237,40437591517020,19
1654,5078,-3682846859355,40440611480253,200
1655,5079,-3682890996861,40425153514954,54
1656,5080,-3641744459384,40430587994165,172
1657,5081,-3696112042495,40410871371680,296
1658,5082,-3697014211009,40450922583122,131
1659,5083,-3682948153065,40393904783632,67
1660,5084,-3682968062506,40360720161433,81
1661,5085,-3682992687971,40398162540993,67
1662,5087,-3683076052952,40442922336250,200
1663,5088,-3683084036269,40438022140732,19
1664,5089,-3683130703768,40436242885298,19
1665,5090,-3683190609375,40436240709451,19
1666,5091,-3683207473986,40481133992990,15
1667,5092,-3692690745812,40390829329554,236
1668,5093,-3683532460410,40438770380417,19
1669,5094,-3683796943894,40443427595168,200
1670,5095,-3744912447888,40363339163934,36
1671,5096,-3746523422122,40461424606297,145
1672,5097,-3580713428118,40470567450195,24
1673,5098,-3683802413742,40429214363723,235
1674,5099,-3732262180351,40377607501001,124
1675,5100,-3732272975476,40438466191377,57
1676,5101,-3684001085660,40451811909267,239
1677,5102,-3684028591890,40377009896392,41
1678,5103,-3608384336827,40448629024909,78
1679,5104,-3611231982128,40405041267894,298
1680,5105,-3684029575708,40361478279719,81
1681,5106,-3732587552718,40413468298050,222
1682,5107,-3732620619866,40388872525080,190
1683,5108,-3684060083364,40477534399756,65
1684,5109,-3732083943390,40380086250916,124
1685,5110,-3684105512792,40485646339559,15
1686,5111,-3733295322839,40389199515199,224
1687,5112,-3731799488789,40399261988203,99
1688,5113,-3732379146740,40438235334338,57
1689,5114,-3732498142471,40438453500575,57
1690,5115,-3684114124472,40473681221095,65
1691,5116,-3652474602645,40478673285222,0
1692,5117,-3652474960540,40463351959276,29
1693,5118,-3684115068226,40484459481730,15
1694,5119,-3684157489699,40424091528730,54
1695,5120,-3684180796950,40462210580072,130
1696,5121,-3684248790944,40434963048140,19
1697,5122,-3684250049044,40362543677193,81
1698,5123,-3684419559120,40399440560185,67
1699,5124,-3684435706053,40502822570413,241
1700,5125,-3732835452550,40379994339021,124
1701,5126,-3732875790094,40431319811184,240
1702,5127,-3732293890759,40413481370700,222
1703,5128,-3732652820619,40388833920127,190
